id,name,country,region_fullname,winary_fullname,url,bottle_url
5441683,Gran Enemigo Single Vineyard El Cepillo Cabernet Franc,Argentina,San Carlos,El Enemigo,https://www.vivino.com/US-CA/en/gran-enemigo-single-vineyard-el-cepillo-cabernet-franc-san-carlos/w/5441683,https://images.vivino.com/thumbs/K18xl8-TRYqCSMA1052OrA_pb_x600.png
1223420,Felipe Rutini,Argentina,Tupungato,Rutini,https://www.vivino.com/US-CA/en/felipe-rutini/w/1223420,https://images.vivino.com/thumbs/hljzKlrcQLW9kiYwechDbQ_pb_x600.png
1926899,Mendoza,Argentina,Mendoza,Cheval des Andes,https://www.vivino.com/US-CA/en/mendoza/w/1926899,https://images.vivino.com/thumbs/0XfpOZ8UQmC8e5vIwKaVAg_pb_x600.png
1868,Nicolás Catena Zapata,Argentina,Mendoza,Catena Zapata,https://www.vivino.com/US-CA/en/nicolas-catena-zapata/w/1868,https://images.vivino.com/thumbs/cOU4NG1bS7qni9iLDXwNnQ_pb_x600.png
43974,Bramare Malbec Lujan de Cuyo,Argentina,Lujan de Cuyo,Viña Cobos,https://www.vivino.com/US-CA/en/bramare-malbec-lujan-de-cuyo/w/43974,https://images.vivino.com/thumbs/oL7F5shKSrWkUGF3L6g6-w_pb_x600.png
74337,Beso de Dante,Argentina,Mendoza,Luca,https://www.vivino.com/US-CA/en/beso-de-dante/w/74337,https://images.vivino.com/thumbs/eX6NWPocTBaYiS8W7cRTHg_pb_x600.png
43984,Bramare Cabernet Sauvignon,Argentina,Lujan de Cuyo,Viña Cobos,https://www.vivino.com/US-CA/en/bramare-cabernet-sauvignon/w/43984,https://images.vivino.com/thumbs/9FuamvWMSK2W9WL--yOLNA_pb_x600.png
1186083,Black Tears Malbec,Argentina,Mendoza,Tapiz,https://www.vivino.com/US-CA/en/black-tears-malbec/w/1186083,https://images.vivino.com/thumbs/blwCXNKDTpKlKKK_6DPN5A_pb_x600.png
9481660,Voyage 9,Argentina,Mendoza,Red Schooner,https://www.vivino.com/US-CA/en/voyage-9/w/9481660,https://images.vivino.com/thumbs/9CiQyIXQSxSuzJx1-zxzXQ_pb_x600.png
1555830,Adrianna Vineyard White Bones Chardonnay,Argentina,Mendoza,Catena Zapata,https://www.vivino.com/US-CA/en/adrianna-vineyard-white-bones-chardonnay/w/1555830,https://images.vivino.com/thumbs/RrYTlfu7QdmGj1BhWWM--w_pb_x600.png
